time,pm10,pm2_5,nitrogen_dioxide,ozone,carbon_monoxide,AQI,hour,hour_sin,hour_cos,AQI_RF_Predict,AQI_LSTM_Predict
2026-09-01 00:00:00,0.4038997280140148,0.2905550105919749,0.4860536040739083,-0.8999168416747922,1.6054768107506066,158.0,0,0.0,1.0,,
2026-09-01 01:00:00,0.150459898680338,-0.0147803257158832,0.1824018948043082,-0.8135919664436365,-0.3477593731449242,152.0,1,0.2697967711570243,0.9629172873477992,,
2026-09-01 02:00:00,-0.0194599868956492,-0.2482720534807158,-0.020032578042092,-0.7704295288280586,-0.9638998662519264,137.0,2,0.5195839500354336,0.8544194045464886,,
2026-09-01 03:00:00,-0.1951398685928568,-0.4937377160027195,-0.1802932023788253,-0.7416545704176732,-0.9638998662519264,117.0,3,0.730835964278124,0.6825531432186541,,
2026-09-01 04:00:00,-0.3160997871384752,-0.673346737360283,-0.3025973630568587,-0.6984921328020953,-0.833589692997112,102.0,4,0.8878852184023752,0.4600650377311522,,
2026-09-01 05:00:00,-0.3189797851990851,-0.718248992699674,-0.3447712115665254,-0.712879612007288,-0.6338751883348425,98.0,5,0.9790840876823228,0.2034560130526337,,
2026-09-01 06:00:00,-0.258499825926276,-0.685320672117454,-0.3489885964174921,-0.712879612007288,-0.3038505104177585,101.0,6,0.9976687691905392,-0.0682424133646708,,
2026-09-01 07:00:00,-0.1404199054412676,-0.3410700478487903,-0.1339019690181919,-0.6553296951865174,-0.1409627938492407,130.0,7,0.9422609221188204,-0.3348796121709861,,
2026-09-01 08:00:00,-0.3852197405931141,-0.5446269387206959,-0.4291189085858588,-0.1517679230047751,-0.3165982447579034,113.0,8,0.8169698930104421,-0.5766803221148671,,
2026-09-01 09:00:00,-0.7020195272602097,-0.8230209218249194,-0.8339878542786592,0.5388310788444715,-0.6579542420884494,91.0,9,0.631087944326053,-0.7757112907044197,,
2026-09-01 10:00:00,-1.1224992441092636,-1.191219415607925,-1.1502917181011594,1.0567803302314065,-0.9539849617651468,65.0,10,0.3984010898462414,-0.917211301505453,,
2026-09-01 11:00:00,-1.2780191393822014,-1.355861018519025,-1.2852480333320928,1.2006551222833328,-1.1494502216473683,53.0,11,0.1361666490962471,-0.9906859460363306,,
2026-09-01 12:00:00,-1.303939121927691,-1.3828023717226592,-1.3232044969907928,1.1718801638729477,-1.2995902038757412,51.0,12,-0.1361666490962464,-0.9906859460363308,,
2026-09-01 13:00:00,-1.3154591141701308,-1.3947763064798302,-1.3274218818417596,1.114330247052177,-1.349164726309638,50.0,13,-0.3984010898462415,-0.9172113015054528,,
2026-09-01 14:00:00,-1.2952991277458612,-1.3828023717226592,-1.3400740363946595,1.114330247052177,-1.2740947351954517,51.0,14,-0.6310879443260528,-0.7757112907044198,,
2026-09-01 15:00:00,-1.2693791452003718,-1.373821920654781,-1.3189871121398262,1.0999427678469842,-1.0984592842867889,52.0,15,-0.816969893010442,-0.5766803221148672,,
2026-09-01 16:00:00,-1.2002591917457326,-1.307965279490341,-1.1882481817598594,0.9704554550002504,-0.8463374273372569,57.0,16,-0.9422609221188204,-0.3348796121709864,,
2026-09-01 17:00:00,-1.0447392964727948,-1.146317160268534,-0.8803790876392926,0.6683183916912051,-0.4879844508865177,68.0,17,-0.9976687691905392,-0.0682424133646704,,
2026-09-01 18:00:00,-0.7970594632603382,-0.9098319488144084,-0.4670753722445589,0.2510814947406187,-0.0531450683949094,85.0,18,-0.979084087682323,0.2034560130526333,,
2026-09-01 19:00:00,-0.5608996222903216,-0.7092685416317959,-0.0875107356575585,-0.1229929645943898,0.3505331857096782,99.0,19,-0.8878852184023756,0.4600650377311516,,
2026-09-01 20:00:00,-0.4082597250779937,-0.5685748082350377,0.2245757433139749,-0.4107425486982426,0.7159682367938311,111.0,20,-0.730835964278124,0.6825531432186542,,
